title,year,oscar_nominations,short_summary,star_1,star_2,star_3
La La Land,2016,14,A jazz pianist falls for an apsiring actres in Los Angeles.,Ryan Gosling,Emma Stone,Rosemarie DeWitt
Moonlight,2016,8,"A timeless story of human self-discovery and connection, Moonlight chronicles the life of a young black man from childhood to adulthood as he struggles to find his place in the world while growing up in a rough neighborhood of Miami.",Mahershala Ali,Sheriff Earp,Duan Sanderson
Argo,2012,3,"Acting under the cover of a Hollywood producer scouting a location for a science fiction film, a CIA agent launches a dangerous operation to rescue six Americans in Tehran during the U.S. hostage crisis in Iran in 1980.",Ben Affleck,Bryan Cranston,John Goodman
Gone Girl,2014,1,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.",Ben Affleck,Rosamund Pike,Neil Patrick Harris
